Stock,Fabricant,Type,Configuration,Nominal Zener Voltage (V),Zener volatge tolerance,Maximum power dissipation (MW),Test Current (MA),Maximum reverse leaking current (UA),Maximum regulator current (MA),Maximum Zener impedance (OHM),Maximum power dissipation (MW,Packaging,Pin Count,SVHC,label
0.0,20.0,3.0,6.0,7.5,0.05,300.0,20.0,3.0,-1.0,-1.0,300.0,7.0,3.0,1.0,0.0
0.0,3.0,3.0,6.0,33.0,0.05,200.0,5.0,0.1,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
0.0,18.0,3.0,6.0,4.7,0.05,500.0,5.0,0.5,-1.0,-1.0,500.0,0.0,2.0,0.0,0.0
0.0,11.0,3.0,6.0,4.3,0.02,365.0,5.0,3.0,-1.0,-1.0,365.0,7.0,2.0,2.0,0.0
0.0,18.0,3.0,6.0,62.0,0.02,500.0,2.5,0.1,-1.0,-1.0,500.0,0.0,2.0,0.0,0.0
0.0,4.0,3.0,9.0,20.8,0.05,200.0,5.0,0.1,-1.0,-1.0,200.0,7.0,6.0,2.0,0.0
0.0,9.0,3.0,6.0,15.0,0.05,2000.0,17.0,5.0,-1.0,-1.0,2000.0,7.0,2.0,2.0,0.0
960.0,20.0,3.0,4.0,56.0,0.05,500.0,2.2,0.1,-1.0,-1.0,-1.0,5.0,2.0,1.0,1.0
0.0,20.0,3.0,4.0,19.0,0.05,500.0,6.6,0.1,-1.0,-1.0,-1.0,5.0,2.0,1.0,1.0
0.0,13.0,3.0,6.0,2.8,0.04,500.0,5.0,100.0,-1.0,-1.0,500.0,0.0,2.0,0.0,0.0
0.0,8.0,3.0,6.0,220.0,-1.0,1000.0,1.0,0.1,-1.0,-1.0,-1.0,7.0,2.0,2.0,0.0
0.0,4.0,3.0,4.0,4.7,0.05,300.0,5.0,2.0,-1.0,-1.0,300.0,5.0,2.0,1.0,1.0
70.0,12.0,3.0,4.0,33.0,0.05,500.0,2.0,0.05,-1.0,-1.0,-1.0,1.0,2.0,2.0,1.0
0.0,12.0,3.0,4.0,13.0,0.05,550.0,5.0,0.1,-1.0,-1.0,550.0,5.0,2.0,2.0,1.0
0.0,12.0,3.0,4.0,4.66,0.05,550.0,5.0,2.0,-1.0,-1.0,550.0,5.0,2.0,2.0,1.0
0.0,20.0,3.0,6.0,68.0,0.06,500.0,2.5,-1.0,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,21.0,3.0,6.0,43.0,0.07,200.0,2.0,0.05,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
101.0,19.0,3.0,4.0,16.0,0.05,1000.0,15.5,5.0,-1.0,-1.0,-1.0,5.0,2.0,2.0,1.0
