brand,model,approx_price_EUR,primary_camera,secondary_camera,WLAN,bluetooth,sensors,colors,internal_memory,release_year,release_month/quarter,removable/non-removable,battery_type,battery_current,display_resolution,display_size,GPRS,EDGE,dimentions,SIM,CPU,Chipset,GPU,memory_card,RAM,GPS,OS,label
0.0,801.0,110.0,5.0,9.0,2.0,11.0,3.0,410.0,28.0,2011.0,5.0,1.0,9.0,2.0,121.0,188.0,15.0,7.0,1054.0,17.0,85.0,16.0,4.0,50.0,0.0,4.0,25.0,0.0
0.0,801.0,110.0,5.0,9.0,2.0,11.0,3.0,410.0,28.0,2011.0,5.0,1.0,9.0,2.0,121.0,188.0,15.0,7.0,1054.0,17.0,85.0,16.0,4.0,50.0,0.0,4.0,12.0,0.0
0.0,802.0,150.0,11.0,9.0,2.0,11.0,3.0,410.0,28.0,2011.0,2.0,1.0,9.0,2.0,121.0,201.0,15.0,7.0,1054.0,17.0,85.0,16.0,4.0,50.0,0.0,4.0,26.0,0.0
0.0,800.0,130.0,16.0,4.0,2.0,11.0,3.0,429.0,28.0,2011.0,12.0,1.0,9.0,2.0,121.0,188.0,15.0,7.0,1010.0,17.0,53.0,15.0,2.0,50.0,0.0,4.0,23.0,0.0
72.0,0.0,20.0,14.0,4.0,0.0,8.0,8.0,410.0,75.0,2010.0,9.0,1.0,9.0,9.0,43.0,0.0,15.0,4.0,453.0,11.0,84.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,34.0,162.02877697841726,8.0,4.0,0.0,7.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,19.0,82.0,155.0,15.0,4.0,807.0,14.0,84.0,16.0,4.0,19.0,4.0,2.0,63.0,1.0
72.0,34.0,162.02877697841726,8.0,4.0,0.0,7.0,8.0,192.0,127.0,2010.0,9.0,1.0,9.0,19.0,82.0,155.0,15.0,4.0,807.0,14.0,84.0,16.0,4.0,19.0,4.0,2.0,63.0,1.0
72.0,34.0,162.02877697841726,8.0,4.0,0.0,7.0,8.0,46.0,127.0,2010.0,9.0,1.0,9.0,19.0,82.0,155.0,15.0,4.0,807.0,14.0,84.0,16.0,4.0,19.0,4.0,2.0,63.0,1.0
72.0,36.0,50.0,8.0,4.0,0.0,7.0,8.0,463.0,29.0,2010.0,9.0,1.0,12.0,12.0,97.0,155.0,15.0,4.0,381.0,15.0,84.0,16.0,4.0,58.0,18.0,2.0,63.0,1.0
72.0,41.0,50.0,16.0,4.0,0.0,11.0,8.0,410.0,21.0,2010.0,9.0,1.0,10.0,18.0,44.0,75.0,15.0,7.0,452.0,11.0,38.0,16.0,4.0,50.0,18.0,2.0,63.0,1.0
72.0,40.0,30.0,16.0,4.0,0.0,8.0,8.0,410.0,76.0,2010.0,9.0,1.0,9.0,0.0,82.0,155.0,3.0,4.0,860.0,15.0,84.0,16.0,4.0,50.0,12.0,2.0,63.0,1.0
72.0,651.0,80.0,16.0,6.0,7.0,10.0,3.0,410.0,127.0,2010.0,9.0,1.0,12.0,9.0,120.0,185.0,12.0,4.0,0.0,12.0,52.0,16.0,4.0,36.0,18.0,3.0,32.0,1.0
72.0,1224.0,130.0,16.0,4.0,2.0,8.0,3.0,430.0,73.0,2012.0,4.0,1.0,9.0,28.0,121.0,180.0,12.0,4.0,1004.0,12.0,3.0,25.0,8.0,50.0,0.0,2.0,19.0,0.0
72.0,1182.0,162.02877697841726,5.0,4.0,7.0,11.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,0.0,82.0,168.0,15.0,7.0,719.0,5.0,84.0,16.0,4.0,61.0,18.0,2.0,63.0,1.0
72.0,1182.0,162.02877697841726,5.0,4.0,7.0,11.0,8.0,250.0,127.0,2010.0,9.0,1.0,9.0,0.0,82.0,168.0,15.0,7.0,719.0,5.0,84.0,16.0,4.0,61.0,18.0,2.0,63.0,1.0
72.0,1178.0,60.0,14.0,4.0,0.0,8.0,8.0,599.0,127.0,2010.0,9.0,1.0,9.0,17.0,44.0,111.0,12.0,4.0,552.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1178.0,60.0,14.0,4.0,0.0,8.0,8.0,203.0,127.0,2010.0,9.0,1.0,9.0,17.0,44.0,111.0,12.0,4.0,552.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1178.0,60.0,14.0,4.0,0.0,8.0,8.0,6.0,127.0,2010.0,9.0,1.0,9.0,17.0,44.0,111.0,12.0,4.0,552.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1179.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,15.0,44.0,75.0,12.0,4.0,1391.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1179.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,187.0,127.0,2010.0,9.0,1.0,9.0,15.0,44.0,75.0,12.0,4.0,1391.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1179.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,55.0,127.0,2010.0,9.0,1.0,9.0,15.0,44.0,75.0,12.0,4.0,1391.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1179.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,206.0,127.0,2010.0,9.0,1.0,9.0,15.0,44.0,75.0,12.0,4.0,1391.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1179.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,246.0,127.0,2010.0,9.0,1.0,9.0,15.0,44.0,75.0,12.0,4.0,1391.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1175.0,20.0,14.0,4.0,0.0,8.0,8.0,588.0,127.0,2010.0,9.0,1.0,9.0,15.0,16.0,58.0,12.0,4.0,305.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1175.0,20.0,14.0,4.0,0.0,8.0,8.0,54.0,127.0,2010.0,9.0,1.0,9.0,15.0,16.0,58.0,12.0,4.0,305.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1175.0,20.0,14.0,4.0,0.0,8.0,8.0,8.0,127.0,2010.0,9.0,1.0,9.0,15.0,16.0,58.0,12.0,4.0,305.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1181.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,556.0,127.0,2010.0,9.0,1.0,9.0,9.0,44.0,75.0,1.0,4.0,612.0,11.0,28.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1181.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,224.0,127.0,2010.0,9.0,1.0,9.0,9.0,44.0,75.0,1.0,4.0,612.0,11.0,28.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1174.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,444.0,127.0,2010.0,9.0,1.0,9.0,9.0,16.0,58.0,12.0,4.0,1306.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1174.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,165.0,127.0,2010.0,9.0,1.0,9.0,9.0,16.0,58.0,12.0,4.0,1306.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1174.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,242.0,127.0,2010.0,9.0,1.0,9.0,9.0,16.0,58.0,12.0,4.0,1306.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1172.0,30.0,14.0,4.0,0.0,8.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,9.0,16.0,58.0,12.0,4.0,305.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1172.0,30.0,14.0,4.0,0.0,8.0,8.0,192.0,127.0,2010.0,9.0,1.0,9.0,9.0,16.0,58.0,12.0,4.0,305.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1170.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,9.0,16.0,58.0,12.0,4.0,426.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1170.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,192.0,127.0,2010.0,9.0,1.0,9.0,9.0,16.0,58.0,12.0,4.0,426.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1169.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,465.0,127.0,2010.0,9.0,1.0,9.0,9.0,16.0,58.0,12.0,4.0,426.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1169.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,82.0,127.0,2010.0,9.0,1.0,9.0,9.0,16.0,58.0,12.0,4.0,426.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1164.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,12.0,5.0,214.0,12.0,4.0,306.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1164.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,82.0,127.0,2010.0,9.0,1.0,9.0,12.0,5.0,214.0,12.0,4.0,306.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1164.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,37.0,127.0,2010.0,9.0,1.0,9.0,12.0,5.0,214.0,12.0,4.0,306.0,11.0,44.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
72.0,1163.0,162.02877697841726,14.0,4.0,0.0,8.0,8.0,410.0,127.0,2010.0,9.0,1.0,9.0,12.0,5.0,214.0,12.0,4.0,426.0,11.0,39.0,16.0,4.0,19.0,18.0,2.0,63.0,1.0
